assetPath,guid,category,domains,excludedByConfig,dirtyWorkingTree,reasons
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_44b329aa962c9294f981f221e8650877_color.png,948f1a2968163c44ab28a074a4cebc77,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_4b981dacef514ba42b1120fba88f9c0c_linear.png,c1258d9374e724f488aed430c81fb578,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_50378d666cef2e4459401340c9b73323_linear.png,44455070789f8864782d3d76d46421fa,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_50a0b7c1c419db543aacf0b82a8cb137_linear.png,bce17b8c2b02be443a9bde00cbc30e41,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_53c69bd44939bdb4993605537fb20079_color.png,1215fc41a7d71bd4d88ac6873e1b132a,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_5c58d7ab0f2101b44a2a4baa242b4ec2_linear.png,a9c3ccb9560f7944aa01e415142c4f9a,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_666f9dd8a5e12da439fb91ec437c7283_color.png,7f50bcf3ec895a943a1626047ec1c0da,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_7327f3d99f81ee34db8b0b24f48704ad_color.png,af28de2f24d4ec0438523a525d171a93,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_75e50cd6f0c56a04f9d7b2d384c30b4e_color.png,352731950f59a324abdd9da7ae170181,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_7f2562627e3d53a4ca7440d1c3bf33ab_color.png,2e840e61189181343bd2645b11f27f70,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_81328b6e9fba3df46a19790a40e1525f_linear.png,ccd1c2afb40dd3c48bf8b6abfc9b4f3b,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_851b7e3bf0be34d488733a88fca3816c_linear.png,be8a94e7c3a2d6347ba8acc48917c515,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_96dc1b0079f9ac24d85a201f116eaa98_color.png,694d2f852c276f3479a0b63cfc95d2b7,Base Color / Albedo,World,False,False,Purpose-built seamless road-network texture from a separate reviewed task.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_ae9770b97d98f9a4393059c619799111_color.png,099f82863d3bd0e4da43eca762051a6b,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_b31431746d25f0143a07508b36ac1dec_linear.png,c4140778551928f44bcf89ebfd6914b5,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_b8213e5a6d8100041a6f3fab6831426e_linear.png,25049a07ffe0bc84ca90828dd839f072,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_c18a2d398a0584447b919fa1ff614e2f_color.png,fc761e9e67ba3fd47aa86d9901d92b3a,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_c8d490a4905ef524b8043fec74c2f19c_color.png,a5469953ef98ad64a97275fa6cfe852f,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_d900a6c887cc752448a0064c0b121b11_color.png,fd24b863dee876c40a39ef41add1d9e1,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
Assets/Game/LegacyImport/RuntimeBaseline/Generated/World/Textures/M06B2_e23c19a43258bd947a4e7dfeb5f4df93_color.png,706351d018219f24a823283154298ef0,Unknown / Manual Review,World,False,False,No authoritative Unity/material classification was found.
